n,seed,lambda,iteration,marginal_violation
200,1200,1.0,1,1.2082146218930154
200,1200,1.0,10,0.014503833119079643
200,1200,1.0,20,0.000133938536933202
200,1200,1.0,30,1.2897061011209535e-06
200,1200,1.0,40,1.2495066598582072e-08
200,1200,0.1,1,1.7317219585509698
200,1200,0.1,20,0.7381486628765367
200,1200,0.1,40,0.2696037832928924
200,1200,0.1,60,0.09909947372758378
200,1200,0.1,80,0.03622788078940146
200,1200,0.1,100,0.013198744932925227
200,1200,0.1,120,0.005024812671575494
200,1200,0.1,140,0.0020398898245029846
200,1200,0.1,160,0.000903349247120204
200,1200,0.1,180,0.0004434144052890736
200,1200,0.1,200,0.00023805748997135327
200,1200,0.1,220,0.0001359212475550483
200,1200,0.1,240,8.051417295267763e-05
200,1200,0.1,260,4.861084085332548e-05
200,1200,0.1,280,2.9603999383809657e-05
200,1200,0.1,300,1.810693724394602e-05
200,1200,0.1,320,1.1104027465961425e-05
200,1200,0.1,340,6.819628867370427e-06
200,1200,0.1,360,4.191847738720111e-06
200,1200,0.1,380,2.577898434630646e-06
200,1200,0.1,400,1.585819862306645e-06
200,1200,0.1,420,9.757034129358189e-07
200,1200,0.01,1,1.7762809070199042
200,1200,0.01,25,1.6409978331043302
200,1200,0.01,50,1.4890370193474458
200,1200,0.01,75,1.3401032483458164
200,1200,0.01,100,1.1867870303834112
200,1200,0.01,125,1.0341385093887554
200,1200,0.01,150,0.920509102746784
200,1200,0.01,175,0.8304455156209014
200,1200,0.01,200,0.7242749423048959
200,1200,0.01,225,0.6521928501717876
200,1200,0.01,250,0.5699381584064442
200,1200,0.01,275,0.5076130982649587
200,1200,0.01,300,0.4515479506946567
200,1200,0.01,325,0.4103525189000671
200,1200,0.01,350,0.35435915741653606
200,1200,0.01,375,0.3130566046364733
200,1200,0.01,400,0.2771342608785335
200,1200,0.01,425,0.23874101558903893
200,1200,0.01,450,0.2070054554850818
200,1200,0.01,475,0.1798542745023724
200,1200,0.01,500,0.15548450917328463
200,1200,0.01,525,0.13829443916776585
200,1200,0.01,550,0.12386799916663496
200,1200,0.01,575,0.11082375827942213
200,1200,0.01,600,0.09885950537393558
200,1200,0.01,625,0.08838746871708558
200,1200,0.01,650,0.07884094827294362
200,1200,0.01,675,0.06926823164767221
200,1200,0.01,700,0.06012448792310979
200,1200,0.01,725,0.05230808340121168
200,1200,0.01,750,0.04578505255711872
200,1200,0.01,775,0.04036844792561338
200,1200,0.01,800,0.03591682156388649
200,1200,0.01,825,0.03212937209404684
200,1200,0.01,850,0.028687730356742578
200,1200,0.01,875,0.02553172468865557
200,1200,0.01,900,0.02283027892814303
200,1200,0.01,925,0.020615804922112173
200,1200,0.01,950,0.01869423713838419
200,1200,0.01,975,0.017058821354018705
200,1200,0.01,1000,0.015620221145621581
200,1200,0.01,1025,0.014181465383163998
200,1200,0.01,1050,0.012729732467501323
200,1200,0.01,1075,0.011325938692391341
200,1200,0.01,1100,0.010018050420959403
200,1200,0.01,1125,0.008819873546787736
200,1200,0.01,1150,0.007739234124449275
200,1200,0.01,1175,0.00677617335010995
200,1200,0.01,1200,0.005924578220166309
200,1200,0.01,1225,0.0051799558920724124
200,1200,0.01,1250,0.004527342239671215
200,1200,0.01,1275,0.003957550425570765
200,1200,0.01,1300,0.0034622900607573287
200,1200,0.01,1325,0.00303248906283042
200,1200,0.01,1350,0.002658674577472221
200,1200,0.01,1375,0.0023339707759067107
200,1200,0.01,1400,0.002052282082504837
200,1200,0.01,1425,0.001807387097439832
200,1200,0.01,1450,0.0015944571339628812
200,1200,0.01,1475,0.0014092465936688392
200,1200,0.01,1500,0.0012480464865527764
200,1200,0.01,1525,0.0011079250178445176
200,1200,0.01,1550,0.0009861350334793234
200,1200,0.01,1575,0.0008799374785365705
200,1200,0.01,1600,0.0007871689453481335
200,1200,0.01,1625,0.0007059128985042913
200,1200,0.01,1650,0.0006347492075127843
200,1200,0.01,1675,0.0005722846534516402
200,1200,0.01,1700,0.0005173444646193468
200,1200,0.01,1725,0.00046902584979975365
200,1200,0.01,1750,0.00042653433599166863
200,1200,0.01,1775,0.0003890022575076058
200,1200,0.01,1800,0.00035582385637625887
200,1200,0.01,1825,0.0003264973760735961
200,1200,0.01,1850,0.00030047724409428163
200,1200,0.01,1875,0.0002775341933182159
200,1200,0.01,1900,0.00025718047456821727
200,1200,0.01,1925,0.00023899444348525912
200,1200,0.01,1950,0.00022269340374854191
200,1200,0.01,1975,0.00020808469307638435
200,1200,0.01,2000,0.00019502642065898513
200,1200,0.01,2025,0.00018333797864506646
200,1200,0.01,2050,0.0001728554370993285
200,1200,0.01,2075,0.0001634107575450511
200,1200,0.01,2100,0.00015491307597324984
200,1200,0.01,2125,0.00014724275660275496
200,1200,0.01,2150,0.0001403256885259517
200,1200,0.01,2175,0.0001340955164246373
200,1200,0.01,2200,0.00012852635016340468
200,1200,0.01,2225,0.00012355545976705865
200,1200,0.01,2250,0.00011910707747777097
200,1200,0.01,2275,0.00011503665469267312
200,1200,0.01,2300,0.00011129883294407322
200,1200,0.01,2325,0.00010784034013452525
200,1200,0.01,2350,0.00010459557925681252
200,1200,0.01,2375,0.00010154563263181822
200,1200,0.01,2400,9.871934708693703e-05
200,1200,0.01,2425,9.608130530708997e-05
200,1200,0.01,2450,9.359751518190577e-05
200,1200,0.01,2475,9.125372460814119e-05
200,1200,0.01,2500,8.903626654151956e-05
200,1200,0.01,2525,8.693058400982816e-05
200,1200,0.01,2550,8.492913410012085e-05
200,1200,0.01,2575,8.303003401089436e-05
200,1200,0.01,2600,8.122241540060599e-05
200,1200,0.01,2625,7.950536679883231e-05
200,1200,0.01,2650,7.786129558710712e-05
200,1200,0.01,2675,7.629201520348815e-05
200,1200,0.01,2700,7.479170386313211e-05
200,1200,0.01,2725,7.334644922462989e-05
200,1200,0.01,2750,7.195325124696034e-05
200,1200,0.01,2775,7.060932657645871e-05
200,1200,0.01,2800,6.932299344253323e-05
200,1200,0.01,2825,6.808925232460166e-05
200,1200,0.01,2850,6.68954371699981e-05
200,1200,0.01,2875,6.574043800391949e-05
200,1200,0.01,2900,6.462473300407941e-05
200,1200,0.01,2925,6.354344379295562e-05
200,1200,0.01,2950,6.249505012310193e-05
200,1200,0.01,2975,6.147987158636788e-05
200,1200,0.01,3000,6.0496785949441974e-05
200,1200,0.01,3025,5.9542276038077047e-05
200,1200,0.01,3050,5.8615158880682625e-05
200,1200,0.01,3075,5.771431532520903e-05
200,1200,0.01,3100,5.683868587055569e-05
200,1200,0.01,3125,5.5987266727251794e-05
200,1200,0.01,3150,5.5159106211541235e-05
200,1200,0.01,3175,5.435330142671089e-05
200,1200,0.01,3200,5.3568995193075016e-05
200,1200,0.01,3225,5.2805373205178086e-05
200,1200,0.01,3250,5.2061661338361626e-05
200,1200,0.01,3275,5.1337123271828766e-05
200,1200,0.01,3300,5.0631058164919696e-05
200,1200,0.01,3325,4.9942798569267005e-05
200,1200,0.01,3350,4.927170845383296e-05
200,1200,0.01,3375,4.861718135805784e-05
200,1200,0.01,3400,4.797863876520019e-05
200,1200,0.01,3425,4.7355528412703143e-05
200,1200,0.01,3450,4.6747322898578296e-05
200,1200,0.01,3475,4.615351824810345e-05
200,1200,0.01,3500,4.557363264089294e-05
200,1200,0.01,3525,4.500720523461024e-05
200,1200,0.01,3550,4.44537949763988e-05
200,1200,0.01,3575,4.391297959693754e-05
200,1200,0.01,3600,4.338435460591022e-05
200,1200,0.01,3625,4.286753235947533e-05
200,1200,0.01,3650,4.2362141200570115e-05
200,1200,0.01,3675,4.186782463644345e-05
200,1200,0.01,3700,4.13842405601059e-05
200,1200,0.01,3725,4.091106057059913e-05
200,1200,0.01,3750,4.0447969246816366e-05
200,1200,0.01,3775,3.999466353158624e-05
200,1200,0.01,3800,3.955085213514821e-05
200,1200,0.01,3825,3.911625499389195e-05
200,1200,0.01,3850,3.869060265819513e-05
200,1200,0.01,3875,3.8273635869886385e-05
200,1200,0.01,3900,3.786510506897066e-05
200,1200,0.01,3925,3.7464769902841207e-05
200,1200,0.01,3950,3.7072398866056476e-05
200,1200,0.01,3975,3.6687768859691716e-05
200,1200,0.01,4000,3.63106648148398e-05
200,1200,0.01,4025,3.594087936381954e-05
200,1200,0.01,4050,3.5578212454773044e-05
200,1200,0.01,4075,3.522247106654223e-05
200,1200,0.01,4100,3.487346890717821e-05
200,1200,0.01,4125,3.4531026101243534e-05
200,1200,0.01,4150,3.4194968914534087e-05
200,1200,0.01,4175,3.386512953159129e-05
200,1200,0.01,4200,3.354134578306689e-05
200,1200,0.01,4225,3.322346088992147e-05
200,1200,0.01,4250,3.29113232764534e-05
200,1200,0.01,4275,3.2604786366977057e-05
200,1200,0.01,4300,3.230370833502607e-05
200,1200,0.01,4325,3.200795194846593e-05
200,1200,0.01,4350,3.1717384390608436e-05
200,1200,0.01,4375,3.143187706311935e-05
200,1200,0.01,4400,3.115130545407532e-05
200,1200,0.01,4425,3.087554892805544e-05
200,1200,0.01,4450,3.060449061800807e-05
200,1200,0.01,4475,3.033801728311112e-05
200,1200,0.01,4500,3.0076019149676177e-05
200,1200,0.01,4525,2.9818389791260932e-05
200,1200,0.01,4550,2.9565026007542967e-05
200,1200,0.01,4575,2.9315827689391227e-05
200,1200,0.01,4600,2.9070697731875712e-05
200,1200,0.01,4625,2.8829541880852003e-05
200,1200,0.01,4650,2.8592268692918636e-05
200,1200,0.01,4675,2.835878937190988e-05
200,1200,0.01,4700,2.8129017718173284e-05
200,1200,0.01,4725,2.7902870024609436e-05
200,1200,0.01,4750,2.768026495161835e-05
200,1200,0.01,4775,2.746112351230661e-05
200,1200,0.01,4800,2.7245368944835147e-05
200,1200,0.01,4825,2.7032926635610875e-05
200,1200,0.01,4850,2.6823724092851255e-05
200,1200,0.01,4875,2.661769078662283e-05
200,1200,0.01,4900,2.641475817052874e-05
200,1200,0.01,4925,2.621485958390849e-05
200,1200,0.01,4950,2.601793016109976e-05
200,1200,0.01,4975,2.5823906803171086e-05
200,1200,0.01,5000,2.5632728121600598e-05
200,1200,0.01,5025,2.5444334359994887e-05
200,1200,0.01,5050,2.525866737474857e-05
200,1200,0.01,5075,2.5075670544699898e-05
200,1200,0.01,5100,2.4895288742816588e-05
200,1200,0.01,5125,2.471746829194304e-05
200,1200,0.01,5150,2.4542156911593754e-05
200,1200,0.01,5175,2.436930365892851e-05
200,1200,0.01,5200,2.4198858935061546e-05
200,1200,0.01,5225,2.4030774388111333e-05
200,1200,0.01,5250,2.386500290803978e-05
200,1200,0.01,5275,2.370149858252346e-05
200,1200,0.01,5300,2.3540216634296285e-05
200,1200,0.01,5325,2.338111343173129e-05
200,1200,0.01,5350,2.3224146439126958e-05
200,1200,0.01,5375,2.3069274126655964e-05
200,1200,0.01,5400,2.2916456051855563e-05
200,1200,0.01,5425,2.276565273817352e-05
200,1200,0.01,5450,2.2616825657023262e-05
200,1200,0.01,5475,2.2469937239983327e-05
200,1200,0.01,5500,2.232495081948803e-05
200,1200,0.01,5525,2.2181830623711762e-05
200,1200,0.01,5550,2.2040541693792333e-05
200,1200,0.01,5575,2.190104997215961e-05
200,1200,0.01,5600,2.176332213156551e-05
200,1200,0.01,5625,2.1627325701083916e-05
200,1200,0.01,5650,2.1493028922827707e-05
200,1200,0.01,5675,2.1360400806633324e-05
200,1200,0.01,5700,2.122941107384098e-05
200,1200,0.01,5725,2.110003015471512e-05
200,1200,0.01,5750,2.0972229138545122e-05
200,1200,0.01,5775,2.084597980958787e-05
200,1200,0.01,5800,2.0721254568685163e-05
200,1200,0.01,5825,2.0598026462584004e-05
200,1200,0.01,5850,2.0476269126688124e-05
200,1200,0.01,5875,2.0355956820375214e-05
200,1200,0.01,5900,2.023706434374061e-05
200,1200,0.01,5925,2.011956708310777e-05
200,1200,0.01,5950,2.0003440956834623e-05
200,1200,0.01,5975,1.9888662441411645e-05
200,1200,0.01,6000,1.9775208495866926e-05
200,1200,0.01,6025,1.966305660340128e-05
200,1200,0.01,6050,1.955218473099693e-05
200,1200,0.01,6075,1.944257134716288e-05
200,1200,0.01,6100,1.9334195344372813e-05
200,1200,0.01,6125,1.9227036084739496e-05
200,1200,0.01,6150,1.9121073411549824e-05
200,1200,0.01,6175,1.901628752879695e-05
200,1200,0.01,6200,1.8912659120871e-05
200,1200,0.01,6225,1.881016924326108e-05
200,1200,0.01,6250,1.870879937474791e-05
200,1200,0.01,6275,1.8608531363706327e-05
200,1200,0.01,6300,1.8509347444313658e-05
200,1200,0.01,6325,1.8411230230123456e-05
200,1200,0.01,6350,1.831416267052046e-05
200,1200,0.01,6375,1.821812809142242e-05
200,1200,0.01,6400,1.8123110143690273e-05
200,1200,0.01,6425,1.8029092827400416e-05
200,1200,0.01,6450,1.7936060449391666e-05
200,1200,0.01,6475,1.7843997654670707e-05
200,1200,0.01,6500,1.7752889383115984e-05
200,1200,0.01,6525,1.766272087638538e-05
200,1200,0.01,6550,1.757347769164915e-05
200,1200,0.01,6575,1.7485145647288744e-05
200,1200,0.01,6600,1.7397710852805164e-05
200,1200,0.01,6625,1.731115971072804e-05
200,1200,0.01,6650,1.7225478868779752e-05
200,1200,0.01,6675,1.7140655233975274e-05
200,1200,0.01,6700,1.7056675992452655e-05
200,1200,0.01,6725,1.697352855231822e-05
200,1200,0.01,6750,1.689120059635181e-05
200,1200,0.01,6775,1.6809680010282033e-05
200,1200,0.01,6800,1.6728954937864603e-05
200,1200,0.01,6825,1.6649013743393233e-05
200,1200,0.01,6850,1.656984500774273e-05
200,1200,0.01,6875,1.6491437540302155e-05
200,1200,0.01,6900,1.6413780335003056e-05
200,1200,0.01,6925,1.633686263445653e-05
200,1200,0.01,6950,1.6260673839496066e-05
200,1200,0.01,6975,1.618520358287641e-05
200,1200,0.01,7000,1.6110441685475256e-05
200,1200,0.01,7025,1.603637813331598e-05
200,1200,0.01,7050,1.596300312088888e-05
200,1200,0.01,7075,1.5890307008710296e-05
200,1200,0.01,7100,1.5818280356625844e-05
200,1200,0.01,7125,1.574691386616034e-05
200,1200,0.01,7150,1.5676198432608944e-05
200,1200,0.01,7175,1.56061250848466e-05
200,1200,0.01,7200,1.553687641203845e-05
200,1200,0.01,7225,1.5469298592240936e-05
200,1200,0.01,7250,1.5402301862462407e-05
200,1200,0.01,7275,1.5335878789730223e-05
200,1200,0.01,7300,1.527002207419529e-05
200,1200,0.01,7325,1.5204724546133593e-05
200,1200,0.01,7350,1.513997913372804e-05
200,1200,0.01,7375,1.507577889887056e-05
200,1200,0.01,7400,1.5012117016768682e-05
200,1200,0.01,7425,1.4948986779735919e-05
200,1200,0.01,7450,1.4886381573527528e-05
200,1200,0.01,7475,1.4824294921362592e-05
200,1200,0.01,7500,1.4762720424532291e-05
200,1200,0.01,7525,1.4701651795945118e-05
200,1200,0.01,7550,1.4641082864744713e-05
200,1200,0.01,7575,1.4581007542307546e-05
200,1200,0.01,7600,1.4521419848779853e-05
200,1200,0.01,7625,1.4462313887446225e-05
200,1200,0.01,7650,1.4403683872113958e-05
200,1200,0.01,7675,1.4345524112567391e-05
200,1200,0.01,7700,1.4287828972416733e-05
200,1200,0.01,7725,1.4230592952696117e-05
200,1200,0.01,7750,1.4173810604803903e-05
200,1200,0.01,7775,1.4117476580323071e-05
200,1200,0.01,7800,1.4061585612887284e-05
200,1200,0.01,7825,1.4006132514616035e-05
200,1200,0.01,7850,1.3951112187480554e-05
200,1200,0.01,7875,1.3896519589198277e-05
200,1200,0.01,7900,1.384234979661704e-05
200,1200,0.01,7925,1.3788597923564648e-05
200,1200,0.01,7950,1.3735259161520331e-05
200,1200,0.01,7975,1.3682328790366564e-05
200,1200,0.01,8000,1.3629802163118293e-05
200,1200,0.01,8025,1.357767469501326e-05
200,1200,0.01,8050,1.3525941858129158e-05
200,1200,0.01,8075,1.3474599219645556e-05
200,1200,0.01,8100,1.3423642393151948e-05
200,1200,0.01,8125,1.3373067054558638e-05
200,1200,0.01,8150,1.3322868959597493e-05
200,1200,0.01,8175,1.3273043926525889e-05
200,1200,0.01,8200,1.3223587800852837e-05
200,1200,0.01,8225,1.317449655063082e-05
200,1200,0.01,8250,1.3125766135477224e-05
200,1200,0.01,8275,1.3077392628377087e-05
200,1200,0.01,8300,1.3029372119135324e-05
200,1200,0.01,8325,1.2981700789618626e-05
200,1200,0.01,8350,1.2934374849327829e-05
200,1200,0.01,8375,1.28873905634189e-05
200,1200,0.01,8400,1.284074426568041e-05
200,1200,0.01,8425,1.2794432340050912e-05
200,1200,0.01,8450,1.2748451210241839e-05
200,1200,0.01,8475,1.2702797347882017e-05
200,1200,0.01,8500,1.2657467300301005e-05
200,1200,0.01,8525,1.2612457646474055e-05
200,1200,0.01,8550,1.256776499518851e-05
200,1200,0.01,8575,1.2523386032933445e-05
200,1200,0.01,8600,1.2479317469602826e-05
200,1200,0.01,8625,1.2435556085719016e-05
200,1200,0.01,8650,1.2392098679864585e-05
200,1200,0.01,8675,1.2348942106748216e-05
200,1200,0.01,8700,1.2306083270303102e-05
200,1200,0.01,8725,1.22635191039085e-05
200,1200,0.01,8750,1.222124658194386e-05
200,1200,0.01,8775,1.2179262746149673e-05
200,1200,0.01,8800,1.213756464006014e-05
200,1200,0.01,8825,1.2096149375524605e-05
200,1200,0.01,8850,1.2055014088568385e-05
200,1200,0.01,8875,1.2014155952993003e-05
200,1200,0.01,8900,1.1973572211620293e-05
200,1200,0.01,8925,1.1933260075857113e-05
200,1200,0.01,8950,1.1893216872086929e-05
200,1200,0.01,8975,1.1853439907631193e-05
200,1200,0.01,9000,1.1813926555337938e-05
200,1200,0.01,9025,1.1774674198986555e-05
200,1200,0.01,9050,1.1735680275579488e-05
200,1200,0.01,9075,1.1696942244787678e-05
200,1200,0.01,9100,1.1658457611641616e-05
200,1200,0.01,9125,1.1620223892050245e-05
200,1200,0.01,9150,1.158223866182858e-05
200,1200,0.01,9175,1.1544499499116165e-05
200,1200,0.01,9200,1.150700404207658e-05
200,1200,0.01,9225,1.1469749927049341e-05
200,1200,0.01,9250,1.1432734848684963e-05
200,1200,0.01,9275,1.1395956521734196e-05
200,1200,0.01,9300,1.1359412675276612e-05
200,1200,0.01,9325,1.132310109397492e-05
200,1200,0.01,9350,1.1287019575202152e-05
200,1200,0.01,9375,1.125116593297601e-05
200,1200,0.01,9400,1.1215538038974668e-05
200,1200,0.01,9425,1.118013375807185e-05
200,1200,0.01,9450,1.1144950997010565e-05
200,1200,0.01,9475,1.1109987701220757e-05
200,1200,0.01,9500,1.1075241820594078e-05
200,1200,0.01,9525,1.1040711345979871e-05
200,1200,0.01,9550,1.1006394266778116e-05
200,1200,0.01,9575,1.097228862820352e-05
200,1200,0.01,9600,1.093839249707157e-05
200,1200,0.01,9625,1.0904703934954546e-05
200,1200,0.01,9650,1.0871221060513615e-05
200,1200,0.01,9675,1.0837941991852229e-05
200,1200,0.01,9700,1.0804864883653086e-05
200,1200,0.01,9725,1.0771987896837816e-05
200,1200,0.01,9750,1.0739309242956824e-05
200,1200,0.01,9775,1.0706827116171644e-05
200,1200,0.01,9800,1.0674539764397688e-05
200,1200,0.01,9825,1.0642445441777157e-05
200,1200,0.01,9850,1.0610542434345144e-05
200,1200,0.01,9875,1.0578829032272322e-05
200,1200,0.01,9900,1.0547303556527644e-05
200,1200,0.01,9925,1.0515964345987616e-05
200,1200,0.01,9950,1.048480975870611e-05
200,1200,0.01,9975,1.0453838169701725e-05
200,1200,0.01,10000,1.0423047970260432e-05
200,1200,0.01,10025,1.0392437582362399e-05
200,1200,0.01,10050,1.0362005448117523e-05
200,1200,0.01,10075,1.0331749989106985e-05
200,1200,0.01,10100,1.0301669708107433e-05
200,1200,0.01,10125,1.0271763065773827e-05
200,1200,0.01,10150,1.0242028577645175e-05
200,1200,0.01,10175,1.0212464765253088e-05
200,1200,0.01,10200,1.0183070165745156e-05
200,1200,0.01,10225,1.0153843327886415e-05
200,1200,0.01,10250,1.0124782828109004e-05
200,1200,0.01,10275,1.0095887247566979e-05
200,1200,0.01,10300,1.0067155197194394e-05
200,1200,0.01,10325,1.003858529368979e-05
200,1200,0.01,10350,1.0010176175493865e-05
200,1200,0.01,10375,9.981926464988113e-06
200,1200,0.01,10400,9.95383485742369e-06
200,1200,0.01,10425,9.925900021648393e-06
200,1200,0.01,10450,9.89812064859652e-06
200,1200,0.01,10475,9.870495452580369e-06
200,1200,0.01,10500,9.843023149980895e-06
200,1200,0.01,10525,9.815702484289313e-06
200,1200,0.01,10550,9.788532192469938e-06
200,1200,0.01,10575,9.761511053320814e-06
200,1200,0.01,10600,9.734637835397304e-06
200,1200,0.01,10625,9.707911333351957e-06
200,1200,0.01,10650,9.68133034751767e-06
200,1200,0.01,10675,9.65489370915052e-06
200,1200,0.01,10700,9.62860022333048e-06
200,1200,0.01,10725,9.602448754557e-06
200,1200,0.01,10750,9.576438134321213e-06
200,1200,0.01,10775,9.550567255802757e-06
200,1200,0.01,10800,9.524834977770423e-06
200,1200,0.01,10825,9.499240208606097e-06
200,1200,0.01,10850,9.473781830426214e-06
200,1200,0.01,10875,9.448458775439088e-06
200,1200,0.01,10900,9.423269955696409e-06
200,1200,0.01,10925,9.398214318005922e-06
200,1200,0.01,10950,9.373290811065353e-06
200,1200,0.01,10975,9.348498388018524e-06
200,1200,0.01,11000,9.32383601662777e-06
200,1200,0.01,11025,9.299302693583679e-06
200,1200,0.01,11050,9.274897383860017e-06
200,1200,0.01,11075,9.25061911813841e-06
200,1200,0.01,11100,9.226466891520436e-06
200,1200,0.01,11125,9.202439730625865e-06
200,1200,0.01,11150,9.178536669031574e-06
200,1200,0.01,11175,9.1547567513681e-06
200,1200,0.01,11200,9.13109902024329e-06
200,1200,0.01,11225,9.107562542441834e-06
200,1200,0.01,11250,9.084146394227818e-06
200,1200,0.01,11275,9.060849655917642e-06
200,1200,0.01,11300,9.037671413355403e-06
200,1200,0.01,11325,9.014610767331573e-06
200,1200,0.01,11350,8.991666822550162e-06
200,1200,0.01,11375,8.968838706323833e-06
200,1200,0.01,11400,8.946125538350676e-06
200,1200,0.01,11425,8.92352645727023e-06
200,1200,0.01,11450,8.901040600911049e-06
200,1200,0.01,11475,8.87866713106776e-06
200,1200,0.01,11500,8.856405192140052e-06
200,1200,0.01,11525,8.834253972083046e-06
200,1200,0.01,11550,8.812212631860439e-06
200,1200,0.01,11575,8.790280373947856e-06
200,1200,0.01,11600,8.768456376853119e-06
200,1200,0.01,11625,8.746739846303593e-06
200,1200,0.01,11650,8.725129993605515e-06
200,1200,0.01,11675,8.703626036947638e-06
200,1200,0.01,11700,8.682227194311415e-06
200,1200,0.01,11725,8.660932703969358e-06
200,1200,0.01,11750,8.639741806135137e-06
200,1200,0.01,11775,8.618653745442496e-06
200,1200,0.01,11800,8.597667772184715e-06
200,1200,0.01,11825,8.576783151913701e-06
200,1200,0.01,11850,8.555999141980457e-06
200,1200,0.01,11875,8.535315038250314e-06
200,1200,0.01,11900,8.514730115323499e-06
200,1200,0.01,11925,8.49424364964338e-06
200,1200,0.01,11950,8.473854950962617e-06
200,1200,0.01,11975,8.453563323184386e-06
200,1200,0.01,12000,8.433368064047521e-06
200,1200,0.01,12025,8.413268493395569e-06
200,1200,0.01,12050,8.39326394086893e-06
200,1200,0.01,12075,8.373353730666173e-06
200,1200,0.01,12100,8.353537189086623e-06
200,1200,0.01,12125,8.333813672805473e-06
200,1200,0.01,12150,8.314182521658095e-06
200,1200,0.01,12175,8.2946430774479e-06
200,1200,0.01,12200,8.275194717428241e-06
200,1200,0.01,12225,8.25583680473356e-06
200,1200,0.01,12250,8.23656869783189e-06
